"","Council","Walking distance","2013","2014","2015","2016","2017","2018","2019","2022","2023"
"1","Aberdeen City","In 5 minutes","64.4","74.5","59.3","61.5","56.7","57.9","52.1","50.8","59.4"
"2","Aberdeen City","6 to 10 minutes","15.8","14.9","25","17.7","19.6","23.7","20.6","22.3","25.5"
"3","Aberdeen City","11 minute walk or more","19.1","9","15.2","19.6","20.7","16.8","25.8","25.8","12.6"
"4","Aberdeen City","Don't know","0.7","1.6","0.5","1.1","2.9","1.5","1.5","1.1","2.5"
"5","Aberdeen City","All","100","100","100","100","100","100","100","100","100"
"6","Aberdeen City","Base","310","290","280","290","350","330","300","250","300"
"7","Aberdeenshire","In 5 minutes","67.6","70.7","72.4","70.6","65.4","79.9","63.1","71.1","61.7"
"8","Aberdeenshire","6 to 10 minutes","11.3","15.1","12.8","9.1","15.7","8.2","14.1","14.4","20"
"9","Aberdeenshire","11 minute walk or more","20","13","13.4","20","18.9","11.9","22","13.3","15.6"
"10","Aberdeenshire","Don't know","1.1","1.1","1.4","0.3","-","-","0.8","1.2","2.7"
"11","Aberdeenshire","All","100","100","100","100","100","100","100","100","100"
"12","Aberdeenshire","Base","300","300","280","320","320","360","340","310","340"
"13","Angus","In 5 minutes","83.5","68.5","75.3","61.1","62.4","63.6","65.5","68.4","78.7"
"14","Angus","6 to 10 minutes","11.3","18.5","14.7","25.3","21.8","18.3","18","18.6","11.4"
"15","Angus","11 minute walk or more","3.7","11.3","9.3","12.9","13","17","14.2","13","7"
"16","Angus","Don't know","1.4","1.7","0.6","0.8","2.7","1.1","2.4","-","2.9"
"17","Angus","All","100","100","100","100","100","100","100","100","100"
"18","Angus","Base","220","260","240","230","240","210","230","220","200"
"19","Argyll and Bute","In 5 minutes","70.2","68.1","63.4","64.6","61.3","74.1","59.6","74.5","73.2"
"20","Argyll and Bute","6 to 10 minutes","18.8","17.3","22.2","19","21.1","14.9","17.9","16.4","16.2"
"21","Argyll and Bute","11 minute walk or more","10.2","12.7","8.4","12.9","8.2","6.3","14.9","7.7","6.7"
"22","Argyll and Bute","Don't know","0.8","2","6","3.5","9.5","4.7","7.6","1.4","3.9"
"23","Argyll and Bute","All","100","100","100","100","100","100","100","100","100"
"24","Argyll and Bute","Base","250","270","250","240","250","240","240","250","240"
"25","Clackmannanshire","In 5 minutes","70.8","79.1","67.9","68.3","78.9","67.4","78.1","86.4","81.8"
"26","Clackmannanshire","6 to 10 minutes","20.2","19.2","23.4","24.2","12","15.5","15.6","10","14.9"
"27","Clackmannanshire","11 minute walk or more","8.4","1.4","8","7.1","8.7","16.1","6","2.6","3.1"
"28","Clackmannanshire","Don't know","0.5","0.4","0.6","0.5","0.5","0.9","0.2","0.9","0.2"
"29","Clackmannanshire","All","100","100","100","100","100","100","100","100","100"
"30","Clackmannanshire","Base","280","250","240","240","270","210","210","210","230"
"31","Dumfries and Galloway","In 5 minutes","88","90.6","85.5","68.4","71.5","83.8","85","59.8","51.7"
"32","Dumfries and Galloway","6 to 10 minutes","8.4","6.8","8","17.5","12.1","9.3","8.7","29.9","33.1"
"33","Dumfries and Galloway","11 minute walk or more","3.6","2.6","6.1","12.9","15.5","6.5","6.1","9","12.3"
"34","Dumfries and Galloway","Don't know","-","-","0.4","1.3","0.9","0.4","0.2","1.3","2.9"
"35","Dumfries and Galloway","All","100","100","100","100","100","100","100","100","100"
"36","Dumfries and Galloway","Base","230","230","230","250","250","240","260","320","250"
"37","Dundee City","In 5 minutes","70.9","52.8","58.5","50.5","51.1","50","47.6","57.2","65.3"
"38","Dundee City","6 to 10 minutes","19.6","25.6","21.9","23.3","27.2","23.7","33.4","19.7","17.7"
"39","Dundee City","11 minute walk or more","9.1","19.5","18.1","24.2","19.3","19.4","15","17.7","15"
"40","Dundee City","Don't know","0.4","2.2","1.4","2","2.5","6.8","4","5.4","1.9"
"41","Dundee City","All","100","100","100","100","100","100","100","100","100"
"42","Dundee City","Base","250","250","240","230","230","250","220","230","210"
"43","East Ayrshire","In 5 minutes","67.7","78.5","74.2","72.3","73.4","70.5","65.7","69.9","62.7"
"44","East Ayrshire","6 to 10 minutes","21.3","16.6","16.8","17.1","17","17.9","24","23.4","24.1"
"45","East Ayrshire","11 minute walk or more","10.3","4.9","8.9","10.1","8.2","10.8","9.4","5.8","10.5"
"46","East Ayrshire","Don't know","0.6","-","0.2","0.5","1.5","0.8","1","0.9","2.7"
"47","East Ayrshire","All","100","100","100","100","100","100","100","100","100"
"48","East Ayrshire","Base","190","230","220","210","250","240","260","200","230"
"49","East Dunbartonshire","In 5 minutes","55.9","67.4","75.4","62.3","66.6","65.4","64","73.7","69.1"
"50","East Dunbartonshire","6 to 10 minutes","32.3","24.4","17","28.4","20.4","23.6","17.3","20.4","22"
"51","East Dunbartonshire","11 minute walk or more","10.3","7.1","7.3","7.1","11.1","7.8","15.4","4.1","8.2"
"52","East Dunbartonshire","Don't know","1.6","1.1","0.4","2.1","1.9","3.2","3.3","1.8","0.7"
"53","East Dunbartonshire","All","100","100","100","100","100","100","100","100","100"
"54","East Dunbartonshire","Base","250","220","240","260","230","260","260","230","240"
"55","East Lothian","In 5 minutes","86.4","80.9","84.5","83","82.3","85.5","84","90.8","87.8"
"56","East Lothian","6 to 10 minutes","8.2","13","10.8","10.8","10.8","8.5","9.7","5.9","10.4"
"57","East Lothian","11 minute walk or more","5.4","6","4.1","5.6","6.1","6","6.3","3.3","1.8"
"58","East Lothian","Don't know","-","-","0.6","0.6","0.9","-","-","-","-"
"59","East Lothian","All","100","100","100","100","100","100","100","100","100"
"60","East Lothian","Base","230","220","210","290","260","250","270","250","260"
"61","East Renfrewshire","In 5 minutes","59.4","62.4","64.5","65.3","53.3","54.3","54.2","61.9","55.9"
"62","East Renfrewshire","6 to 10 minutes","26.2","21.8","25.6","23.9","25.3","30.4","29.6","26.2","35.6"
"63","East Renfrewshire","11 minute walk or more","13.9","15.8","9.7","10.4","20.8","14.5","15.5","11.6","7.6"
"64","East Renfrewshire","Don't know","0.6","-","0.2","0.4","0.6","0.7","0.6","0.3","0.9"
"65","East Renfrewshire","All","100","100","100","100","100","100","100","100","100"
"66","East Renfrewshire","Base","260","220","260","230","230","250","240","230","210"
"67","Edinburgh, City of","In 5 minutes","67.3","67.7","64.9","65.7","66","71.6","69.2","75","73.8"
"68","Edinburgh, City of","6 to 10 minutes","23.1","22.6","24","24.3","22.2","21","21.2","18.8","20.8"
"69","Edinburgh, City of","11 minute walk or more","8.8","7.9","9.8","9.2","11.7","6.8","9.4","6","5.4"
"70","Edinburgh, City of","Don't know","0.8","1.8","1.3","0.8","0.1","0.6","0.3","0.2","0.1"
"71","Edinburgh, City of","All","100","100","100","100","100","100","100","100","100"
"72","Edinburgh, City of","Base","750","710","630","720","700","780","840","1010","830"
"73","Falkirk","In 5 minutes","71.6","57.3","56.4","62","57.2","47.2","65.9","79.8","75.4"
"74","Falkirk","6 to 10 minutes","18.5","27.1","27.3","29.9","17","22.6","23.2","15.3","17.7"
"75","Falkirk","11 minute walk or more","8.6","14.5","15.8","7.5","25.5","28.6","8.2","4.3","5.5"
"76","Falkirk","Don't know","1.3","1.1","0.6","0.6","0.3","1.6","2.7","0.6","1.4"
"77","Falkirk","All","100","100","100","100","100","100","100","100","100"
"78","Falkirk","Base","240","260","260","250","260","210","220","200","220"
"79","Fife","In 5 minutes","78.1","80.3","73.9","69.7","74.2","74.2","77.4","76.6","72.2"
"80","Fife","6 to 10 minutes","12","13.2","20","20.7","20.7","21.7","17.1","15.1","19.9"
"81","Fife","11 minute walk or more","8.3","6.1","5.9","9","4.8","4.2","5.6","8.2","6.7"
"82","Fife","Don't know","1.6","0.5","0.3","0.6","0.2","-","-","0.1","1.2"
"83","Fife","All","100","100","100","100","100","100","100","100","100"
"84","Fife","Base","510","490","470","480","460","520","480","450","480"
"85","Glasgow City","In 5 minutes","58.9","59.4","54.7","55","55.8","50.7","55.1","51.2","57.1"
"86","Glasgow City","6 to 10 minutes","22.1","22.2","25","26.1","24.1","30.8","25.6","31.8","26.8"
"87","Glasgow City","11 minute walk or more","16.7","16.9","19.4","17.6","18.4","15.5","15.6","15.8","13.8"
"88","Glasgow City","Don't know","2.3","1.4","1","1.2","1.8","3","3.6","1.2","2.3"
"89","Glasgow City","All","100","100","100","100","100","100","100","100","100"
"90","Glasgow City","Base","910","950","810","800","840","910","850","870","890"
"91","Highland","In 5 minutes","59.3","70.9","81.4","76.1","78.4","73.9","68.7","74.4","75.8"
"92","Highland","6 to 10 minutes","13.6","14.4","11.4","10.7","11.6","18.9","17.2","14.7","17.4"
"93","Highland","11 minute walk or more","20.5","11.6","6.6","11","9.5","5.8","12.5","9","3.8"
"94","Highland","Don't know","6.6","3.1","0.5","2.2","0.5","1.3","1.7","2","2.9"
"95","Highland","All","100","100","100","100","100","100","100","100","100"
"96","Highland","Base","300","320","300","280","320","330","330","280","340"
"97","Inverclyde","In 5 minutes","57.2","56.5","60.2","68","58.1","58","51.1","65.8","67.2"
"98","Inverclyde","6 to 10 minutes","16","20.4","23.9","16","19.6","27.1","29.3","26.3","20.2"
"99","Inverclyde","11 minute walk or more","24.8","22.4","14.4","15.4","20.6","12.1","17.7","7.1","11.1"
"100","Inverclyde","Don't know","2","0.7","1.5","0.6","1.7","2.8","1.9","0.8","1.4"
"101","Inverclyde","All","100","100","100","100","100","100","100","100","100"
"102","Inverclyde","Base","250","250","270","240","270","240","240","180","230"
"103","Midlothian","In 5 minutes","77.5","74.4","77.2","76.4","78.4","78.5","77.9","79.3","77.9"
"104","Midlothian","6 to 10 minutes","18.1","16.6","18.4","17.1","17","19","13.8","16.2","16.1"
"105","Midlothian","11 minute walk or more","4.4","8.6","4.4","6.3","4.4","2.3","8.3","4.5","5.7"
"106","Midlothian","Don't know","-","0.4","-","0.2","0.2","0.2","-","-","0.3"
"107","Midlothian","All","100","100","100","100","100","100","100","100","100"
"108","Midlothian","Base","240","190","200","260","260","250","280","260","230"
"109","Moray","In 5 minutes","72.4","66.6","79.8","75.1","79.8","73.1","75.8","78.4","84.1"
"110","Moray","6 to 10 minutes","20.4","15.9","13","13.5","13.6","12.4","11.4","14.7","11.8"
"111","Moray","11 minute walk or more","5.7","17.3","6.1","11.5","6.6","14.3","12","6.3","3.8"
"112","Moray","Don't know","1.5","0.2","1.1","-","-","0.2","0.9","0.7","0.2"
"113","Moray","All","100","100","100","100","100","100","100","100","100"
"114","Moray","Base","250","250","250","240","220","220","230","200","230"
"115","Na h-Eileanan Siar","In 5 minutes","73.6","76.3","74.4","76.1","62.8","81.6","82.6","87.5","69.5"
"116","Na h-Eileanan Siar","6 to 10 minutes","10","13.2","11.5","9.6","23.6","16.2","16.4","7.9","7.6"
"117","Na h-Eileanan Siar","11 minute walk or more","15.3","10","12.8","13","13.5","2.3","0.9","3.7","21.9"
"118","Na h-Eileanan Siar","Don't know","1.2","0.5","1.3","1.3","0.2","-","-","0.8","1.1"
"119","Na h-Eileanan Siar","All","100","100","100","100","100","100","100","100","100"
"120","Na h-Eileanan Siar","Base","280","270","280","260","320","300","280","350","260"
"121","North Ayrshire","In 5 minutes","53.6","71.8","68.4","63.2","63.3","57.1","64.9","65.1","61.3"
"122","North Ayrshire","6 to 10 minutes","30.3","17.1","20.9","18","22.7","29.8","24","23.1","25.1"
"123","North Ayrshire","11 minute walk or more","14.9","10.4","10.8","18.4","13.4","11.3","9.9","10.3","13.7"
"124","North Ayrshire","Don't know","1.3","0.7","-","0.4","0.7","1.8","1.3","1.5","-"
"125","North Ayrshire","All","100","100","100","100","100","100","100","100","100"
"126","North Ayrshire","Base","240","250","240","260","210","220","230","160","230"
"127","North Lanarkshire","In 5 minutes","60.1","57.7","64.4","64.7","57.6","61.7","60.7","65.7","58.4"
"128","North Lanarkshire","6 to 10 minutes","21.2","25.4","19.9","19.1","23.9","23.9","19.8","22.3","27"
"129","North Lanarkshire","11 minute walk or more","17.6","16.7","13.5","13.7","17.3","12.9","16.9","10.7","12"
"130","North Lanarkshire","Don't know","1.2","0.2","2.2","2.4","1.2","1.5","2.6","1.3","2.6"
"131","North Lanarkshire","All","100","100","100","100","100","100","100","100","100"
"132","North Lanarkshire","Base","430","450","410","440","420","440","460","380","480"
"133","Orkney Islands","In 5 minutes","89.3","86.1","53","74","69","62.2","49.8","62.4","68.9"
"134","Orkney Islands","6 to 10 minutes","7.7","11.1","22.2","10.4","8.7","11.4","16.1","9.3","14.2"
"135","Orkney Islands","11 minute walk or more","2.9","2.9","24.5","13.2","21.1","26.4","33.7","28.3","16.4"
"136","Orkney Islands","Don't know","0.2","-","0.2","2.4","1.2","-","0.4","-","0.4"
"137","Orkney Islands","All","100","100","100","100","100","100","100","100","100"
"138","Orkney Islands","Base","280","270","280","230","240","260","250","300","260"
"139","Perth and Kinross","In 5 minutes","75.3","73.5","67","76","72.4","76.5","65.9","80","82.2"
"140","Perth and Kinross","6 to 10 minutes","12.4","13.1","16.5","11.8","15.6","11.7","14","14.4","11"
"141","Perth and Kinross","11 minute walk or more","10.6","12.9","16.2","11.7","12","11.8","19.1","4.8","6.7"
"142","Perth and Kinross","Don't know","1.8","0.5","0.4","0.5","-","-","1","0.8","-"
"143","Perth and Kinross","All","100","100","100","100","100","100","100","100","100"
"144","Perth and Kinross","Base","270","250","240","220","240","220","200","220","250"
"145","Renfrewshire","In 5 minutes","70.2","70.9","56.5","69.5","63.2","57.2","48","64.7","62.5"
"146","Renfrewshire","6 to 10 minutes","21.4","15","27.6","17.6","24.6","27.5","35.5","24.4","25.1"
"147","Renfrewshire","11 minute walk or more","7.2","11.3","15.3","10.3","11.1","13.1","14.9","10.4","11.1"
"148","Renfrewshire","Don't know","1.2","2.8","0.6","2.5","1.2","2.2","1.7","0.5","1.4"
"149","Renfrewshire","All","100","100","100","100","100","100","100","100","100"
"150","Renfrewshire","Base","270","250","290","270","220","240","250","240","280"
"151","Scotland","In 5 minutes","67.6","68.6","67.2","65.4","64.7","65.3","65.5","69.6","68.2"
"152","Scotland","6 to 10 minutes","18.7","18.7","20.1","20.3","20.2","21.3","19.9","19.4","20.9"
"153","Scotland","11 minute walk or more","12.3","11.5","11.8","13.2","13.9","11.9","12.9","9.8","9.4"
"154","Scotland","Don't know","1.4","1.2","0.9","1.2","1.2","1.5","1.6","1.2","1.6"
"155","Scotland","All","100","100","100","100","100","100","100","100","100"
"156","Scotland","Base","9920","9800","9410","9640","9810","9700","9780","9640","9750"
"157","Scottish Borders","In 5 minutes","76.7","81.8","83.3","82.3","74","76.5","79.1","83.9","81.9"
"158","Scottish Borders","6 to 10 minutes","16.6","13.1","10.7","13.1","19.7","18.1","15.4","9.5","13.9"
"159","Scottish Borders","11 minute walk or more","5.7","3.9","4.4","4.1","5.4","4.9","5","6.6","4"
"160","Scottish Borders","Don't know","1","1.1","1.6","0.6","1","0.5","0.5","-","0.2"
"161","Scottish Borders","All","100","100","100","100","100","100","100","100","100"
"162","Scottish Borders","Base","250","250","220","230","220","230","240","300","230"
"163","Shetland Islands","In 5 minutes","82","75","78.5","85.4","82.6","90.8","81.9","95.7","85.1"
"164","Shetland Islands","6 to 10 minutes","6.8","7.3","10.3","7.8","8.8","5.5","8.5","2.4","7.7"
"165","Shetland Islands","11 minute walk or more","11.1","17","11.2","6.6","8.4","3.2","7.8","0.4","4.4"
"166","Shetland Islands","Don't know","-","0.7","-","0.2","0.2","0.5","1.7","1.5","2.8"
"167","Shetland Islands","All","100","100","100","100","100","100","100","100","100"
"168","Shetland Islands","Base","260","260","230","260","250","230","220","330","260"
"169","South Ayrshire","In 5 minutes","69","76.9","75.4","73.3","75.7","67","75.5","81.4","70.2"
"170","South Ayrshire","6 to 10 minutes","22.3","15.6","18.3","15.5","18.7","22.3","15.7","12.8","17.2"
"171","South Ayrshire","11 minute walk or more","8.8","7","6.1","10.7","5.6","10.1","8.1","5.5","12"
"172","South Ayrshire","Don't know","-","0.5","0.2","0.5","-","0.7","0.7","0.3","0.7"
"173","South Ayrshire","All","100","100","100","100","100","100","100","100","100"
"174","South Ayrshire","Base","250","250","270","250","260","220","260","170","220"
"175","South Lanarkshire","In 5 minutes","64.5","65.7","66.2","60.5","58.7","63.8","63.5","69.9","66.2"
"176","South Lanarkshire","6 to 10 minutes","17.4","19.2","21.4","18.1","23.8","21.4","18","18.1","20.6"
"177","South Lanarkshire","11 minute walk or more","17.1","13.2","12.1","20.5","15.5","14.1","17","10.5","11.2"
"178","South Lanarkshire","Don't know","1","1.9","0.4","1","2","0.8","1.6","1.5","2"
"179","South Lanarkshire","All","100","100","100","100","100","100","100","100","100"
"180","South Lanarkshire","Base","420","410","390","400","430","380","420","410","460"
"181","Stirling","In 5 minutes","75.8","84.3","79.8","75.5","76.5","75","84.5","78.3","83.7"
"182","Stirling","6 to 10 minutes","20.5","11.1","15.7","20.9","12.1","19","11.6","12.5","7.8"
"183","Stirling","11 minute walk or more","3.5","4.1","4.3","2.5","10.7","5.1","3.3","6","7.1"
"184","Stirling","Don't know","0.3","0.6","0.2","1.1","0.7","0.9","0.6","3.3","1.5"
"185","Stirling","All","100","100","100","100","100","100","100","100","100"
"186","Stirling","Base","240","250","240","260","280","230","210","230","230"
"187","West Dunbartonshire","In 5 minutes","51.4","51.7","56.5","38.9","58.3","46.9","54.2","52.8","59.7"
"188","West Dunbartonshire","6 to 10 minutes","26.1","26.4","23.6","31.2","21","31.7","24.4","30.2","23.2"
"189","West Dunbartonshire","11 minute walk or more","17.8","18.4","18.2","24.4","17.3","15.5","17","9.3","14.9"
"190","West Dunbartonshire","Don't know","4.7","3.5","1.8","5.5","3.5","5.9","4.3","7.7","2.2"
"191","West Dunbartonshire","All","100","100","100","100","100","100","100","100","100"
"192","West Dunbartonshire","Base","270","280","240","290","250","230","240","200","230"
"193","West Lothian","In 5 minutes","66.3","58.5","57.6","50.7","52.7","55.3","80.8","75.4","78.2"
"194","West Lothian","6 to 10 minutes","24.8","26.5","23.5","40","24.5","19.3","15.1","17.5","18.5"
"195","West Lothian","11 minute walk or more","8.7","12.8","18.1","8.8","21.9","24","3.4","5.8","3.2"
"196","West Lothian","Don't know","0.2","2.2","0.7","0.5","0.9","1.4","0.8","1.2","-"
"197","West Lothian","All","100","100","100","100","100","100","100","100","100"
"198","West Lothian","Base","250","200","220","240","280","240","230","200","230"