Years,Area name,Frequency of use nearest green space,Percentage
2013,Aberdeen City,Every day / Several times a week,29.8
2013,Aberdeen City,Once a week,14.1
2013,Aberdeen City,Once a month,17.6
2013,Aberdeen City,Less often,15.8
2013,Aberdeen City,Not at all,22.8
2013,Aberdeen City,Base,310
2013,Aberdeen City,Every day / Several times a week,16.33
2013,Aberdeen City,Once a week,15.1
2013,Aberdeen City,Once a month,13.87
2013,Aberdeen City,Less often,12.64
2013,Aberdeen City,Not at all,11.41
2014,Aberdeen City,Every day / Several times a week,35
2014,Aberdeen City,Once a week,10.6
2014,Aberdeen City,Once a month,18
2014,Aberdeen City,Less often,9.2
2014,Aberdeen City,Not at all,26.8
2014,Aberdeen City,Don't know,0.5
2014,Aberdeen City,Base,280
2014,Aberdeen City,Every day / Several times a week,53.07
2014,Aberdeen City,Once a week,54.27
2014,Aberdeen City,Once a month,55.48
2014,Aberdeen City,Less often,56.69
2014,Aberdeen City,Not at all,57.89
2014,Aberdeen City,Don't know,59.1
2015,Aberdeen City,Every day / Several times a week,33.1
2015,Aberdeen City,Once a week,12.5
2015,Aberdeen City,Once a month,20
2015,Aberdeen City,Less often,10.2
2015,Aberdeen City,Not at all,24.2
2015,Aberdeen City,Base,280
2015,Aberdeen City,Every day / Several times a week,13.97
2015,Aberdeen City,Once a week,11.96
2015,Aberdeen City,Once a month,9.95
2015,Aberdeen City,Less often,7.94
2015,Aberdeen City,Not at all,5.93
2016,Aberdeen City,Every day / Several times a week,33.6
2016,Aberdeen City,Once a week,12.8
2016,Aberdeen City,Once a month,22.4
2016,Aberdeen City,Less often,11.2
2016,Aberdeen City,Not at all,19.4
2016,Aberdeen City,Don't know,0.5
2016,Aberdeen City,Base,290
2016,Aberdeen City,Every day / Several times a week,53.95
2016,Aberdeen City,Once a week,55.18
2016,Aberdeen City,Once a month,56.41
2016,Aberdeen City,Less often,57.63
2016,Aberdeen City,Not at all,58.86
2016,Aberdeen City,Don't know,60.09
2017,Aberdeen City,Every day / Several times a week,35.9
2017,Aberdeen City,Once a week,11.7
2017,Aberdeen City,Once a month,16
2017,Aberdeen City,Less often,14.3
2017,Aberdeen City,Not at all,22.1
2017,Aberdeen City,Base,340
2017,Aberdeen City,Every day / Several times a week,12.5
2017,Aberdeen City,Once a week,10
2017,Aberdeen City,Once a month,7.5
2017,Aberdeen City,Less often,5
2017,Aberdeen City,Not at all,2.5
2019,Aberdeen City,Every day / Several times a week,31.9
2019,Aberdeen City,Once a week,17.2
2019,Aberdeen City,Once a month,18.9
2019,Aberdeen City,Less often,12.2
2019,Aberdeen City,Not at all,19.4
2019,Aberdeen City,Don't know,0.5
2019,Aberdeen City,Base,300
2019,Aberdeen City,Every day / Several times a week,55.73
2019,Aberdeen City,Once a week,57.1
2019,Aberdeen City,Once a month,58.47
2019,Aberdeen City,Less often,59.84
2019,Aberdeen City,Not at all,61.2
2019,Aberdeen City,Don't know,62.57
2023,Aberdeen City,Every day / Several times a week,35.6
2023,Aberdeen City,Once a week,15.9
2023,Aberdeen City,Once a month,17.5
2023,Aberdeen City,Less often,8.7
2023,Aberdeen City,Not at all,22.4
2023,Aberdeen City,Base,290
2023,Aberdeen City,Every day / Several times a week,9.94
2023,Aberdeen City,Once a week,6.58
2023,Aberdeen City,Once a month,3.22
2013,Aberdeenshire,Every day / Several times a week,42
2013,Aberdeenshire,Once a week,11
2013,Aberdeenshire,Once a month,9.4
2013,Aberdeenshire,Less often,11.2
2013,Aberdeenshire,Not at all,26.3
2014,Aberdeenshire,Every day / Several times a week,43
2014,Aberdeenshire,Once a week,11.9
2014,Aberdeenshire,Once a month,12.9
2014,Aberdeenshire,Less often,9.5
2014,Aberdeenshire,Not at all,22.6
2015,Aberdeenshire,Every day / Several times a week,42.2
2015,Aberdeenshire,Once a week,14.1
2015,Aberdeenshire,Once a month,11.7
2015,Aberdeenshire,Less often,9.8
2015,Aberdeenshire,Not at all,22.3
2016,Aberdeenshire,Every day / Several times a week,41.4
2016,Aberdeenshire,Once a week,12.7
2016,Aberdeenshire,Once a month,11.6
2016,Aberdeenshire,Less often,11.2
2016,Aberdeenshire,Not at all,23
2017,Aberdeenshire,Every day / Several times a week,35.3
2017,Aberdeenshire,Once a week,12.5
2017,Aberdeenshire,Once a month,14
2017,Aberdeenshire,Less often,10.9
2017,Aberdeenshire,Not at all,27.2
2019,Aberdeenshire,Every day / Several times a week,37.6
2019,Aberdeenshire,Once a week,10
2019,Aberdeenshire,Once a month,14.9
2019,Aberdeenshire,Less often,12
2019,Aberdeenshire,Not at all,25.5
2023,Aberdeenshire,Every day / Several times a week,35.1
2023,Aberdeenshire,Once a week,13.9
2023,Aberdeenshire,Once a month,15.9
2023,Aberdeenshire,Less often,11.9
2023,Aberdeenshire,Not at all,23.2
2013,Angus,Base,220
2014,Angus,Base,250
2015,Angus,Base,240
2016,Angus,Base,230
2017,Angus,Base,230
2019,Angus,Base,230
2023,Angus,Base,190
2013,Argyll and Bute,Every day / Several times a week,47.8
2013,Argyll and Bute,Once a week,9
2013,Argyll and Bute,Once a month,15.6
2013,Argyll and Bute,Less often,11.5
2013,Argyll and Bute,Not at all,16.1
2013,Argyll and Bute,Base,250
2014,Argyll and Bute,Every day / Several times a week,42.2
2014,Argyll and Bute,Once a week,8.8
2014,Argyll and Bute,Once a month,13.4
2014,Argyll and Bute,Less often,9.3
2014,Argyll and Bute,Not at all,26.3
2014,Argyll and Bute,Base,270
2015,Argyll and Bute,Every day / Several times a week,32.9
2015,Argyll and Bute,Once a week,13.7
2015,Argyll and Bute,Once a month,9.9
2015,Argyll and Bute,Less often,10.9
2015,Argyll and Bute,Not at all,32
2015,Argyll and Bute,Don't know,0.6
2015,Argyll and Bute,Base,240
2016,Argyll and Bute,Every day / Several times a week,44.9
2016,Argyll and Bute,Once a week,7.8
2016,Argyll and Bute,Once a month,14.2
2016,Argyll and Bute,Less often,14.7
2016,Argyll and Bute,Not at all,18.4
2016,Argyll and Bute,Base,230
2017,Argyll and Bute,Every day / Several times a week,38
2017,Argyll and Bute,Once a week,9.4
2017,Argyll and Bute,Once a month,11.8
2017,Argyll and Bute,Less often,7.7
2017,Argyll and Bute,Not at all,33.1
2017,Argyll and Bute,Base,230
2019,Argyll and Bute,Every day / Several times a week,39.4
2019,Argyll and Bute,Once a week,5.3
2019,Argyll and Bute,Once a month,11.4
2019,Argyll and Bute,Less often,9.9
2019,Argyll and Bute,Not at all,34.1
2019,Argyll and Bute,Base,220
2023,Argyll and Bute,Every day / Several times a week,50.1
2023,Argyll and Bute,Once a week,9.8
2023,Argyll and Bute,Once a month,10.5
2023,Argyll and Bute,Less often,7.1
2023,Argyll and Bute,Not at all,22
2023,Argyll and Bute,Don't know,0.4
2023,Argyll and Bute,Base,230
2013,Clackmannanshire,Every day / Several times a week,31
2013,Clackmannanshire,Once a week,8.8
2013,Clackmannanshire,Once a month,14.6
2013,Clackmannanshire,Less often,16.5
2013,Clackmannanshire,Not at all,29
2013,Clackmannanshire,Base,280
2014,Clackmannanshire,Every day / Several times a week,45.1
2014,Clackmannanshire,Once a week,10.7
2014,Clackmannanshire,Once a month,15.6
2014,Clackmannanshire,Less often,11.5
2014,Clackmannanshire,Not at all,16.9
2014,Clackmannanshire,Don't know,0.2
2014,Clackmannanshire,Base,250
2015,Clackmannanshire,Every day / Several times a week,42.1
2015,Clackmannanshire,Once a week,11.2
2015,Clackmannanshire,Once a month,12.7
2015,Clackmannanshire,Less often,7.1
2015,Clackmannanshire,Not at all,27
2015,Clackmannanshire,Base,240
2016,Clackmannanshire,Every day / Several times a week,28.6
2016,Clackmannanshire,Once a week,11
2016,Clackmannanshire,Once a month,10.3
2016,Clackmannanshire,Less often,8.2
2016,Clackmannanshire,Not at all,41.9
2016,Clackmannanshire,Base,240
2017,Clackmannanshire,Every day / Several times a week,36.3
2017,Clackmannanshire,Once a week,8.2
2017,Clackmannanshire,Once a month,9.1
2017,Clackmannanshire,Less often,3.2
2017,Clackmannanshire,Not at all,42.1
2017,Clackmannanshire,Don't know,1.1
2017,Clackmannanshire,Base,260
2019,Clackmannanshire,Every day / Several times a week,48
2019,Clackmannanshire,Once a week,13.3
2019,Clackmannanshire,Once a month,11.4
2019,Clackmannanshire,Less often,13.9
2019,Clackmannanshire,Not at all,12.8
2019,Clackmannanshire,Don't know,0.7
2019,Clackmannanshire,Base,210
2023,Clackmannanshire,Every day / Several times a week,45.2
2023,Clackmannanshire,Once a week,13.3
2023,Clackmannanshire,Once a month,9.8
2023,Clackmannanshire,Less often,14.1
2023,Clackmannanshire,Not at all,17.6
2023,Clackmannanshire,Base,230
2013,Dumfries and Galloway,Every day / Several times a week,49.5
2013,Dumfries and Galloway,Once a week,11.2
2013,Dumfries and Galloway,Once a month,8.6
2013,Dumfries and Galloway,Less often,10.2
2013,Dumfries and Galloway,Not at all,20.5
2013,Dumfries and Galloway,Base,230
2014,Dumfries and Galloway,Every day / Several times a week,57.6
2014,Dumfries and Galloway,Once a week,11.6
2014,Dumfries and Galloway,Once a month,8.5
2014,Dumfries and Galloway,Less often,5.9
2014,Dumfries and Galloway,Not at all,16.1
2014,Dumfries and Galloway,Don't know,0.4
2014,Dumfries and Galloway,Base,230
2015,Dumfries and Galloway,Every day / Several times a week,39.5
2015,Dumfries and Galloway,Once a week,13.1
2015,Dumfries and Galloway,Once a month,7.4
2015,Dumfries and Galloway,Less often,9
2015,Dumfries and Galloway,Not at all,31
2015,Dumfries and Galloway,Base,230
2016,Dumfries and Galloway,Every day / Several times a week,35.1
2016,Dumfries and Galloway,Once a week,7.5
2016,Dumfries and Galloway,Once a month,13
2016,Dumfries and Galloway,Less often,10.8
2016,Dumfries and Galloway,Not at all,33.7
2016,Dumfries and Galloway,Base,240
2017,Dumfries and Galloway,Every day / Several times a week,30.8
2017,Dumfries and Galloway,Once a week,5.4
2017,Dumfries and Galloway,Once a month,9
2017,Dumfries and Galloway,Less often,14.1
2017,Dumfries and Galloway,Not at all,40.1
2017,Dumfries and Galloway,Don't know,0.5
2017,Dumfries and Galloway,Base,240
2019,Dumfries and Galloway,Every day / Several times a week,56.4
2019,Dumfries and Galloway,Once a week,13
2019,Dumfries and Galloway,Once a month,6.4
2019,Dumfries and Galloway,Less often,7.9
2019,Dumfries and Galloway,Not at all,16.3
2019,Dumfries and Galloway,Base,260
2023,Dumfries and Galloway,Every day / Several times a week,42.3
2023,Dumfries and Galloway,Once a week,8.3
2023,Dumfries and Galloway,Once a month,14.6
2023,Dumfries and Galloway,Less often,13.2
2023,Dumfries and Galloway,Not at all,21.6
2023,Dumfries and Galloway,Base,240
2013,Dundee City,Every day / Several times a week,36.2
2013,Dundee City,Once a week,10.5
2013,Dundee City,Once a month,19.5
2013,Dundee City,Less often,14.6
2013,Dundee City,Not at all,19.2
2013,Dundee City,Base,240
2014,Dundee City,Every day / Several times a week,32.4
2014,Dundee City,Once a week,10.9
2014,Dundee City,Once a month,17.8
2014,Dundee City,Less often,15.8
2014,Dundee City,Not at all,22.8
2014,Dundee City,Don't know,0.2
2014,Dundee City,Base,240
2015,Dundee City,Every day / Several times a week,36.1
2015,Dundee City,Once a week,15
2015,Dundee City,Once a month,18.4
2015,Dundee City,Less often,11.1
2015,Dundee City,Not at all,19
2015,Dundee City,Don't know,0.6
2015,Dundee City,Base,240
2016,Dundee City,Every day / Several times a week,29.3
2016,Dundee City,Once a week,16.3
2016,Dundee City,Once a month,21.3
2016,Dundee City,Less often,16.8
2016,Dundee City,Not at all,16.3
2016,Dundee City,Base,220
2017,Dundee City,Every day / Several times a week,38.6
2017,Dundee City,Once a week,15.9
2017,Dundee City,Once a month,21.9
2017,Dundee City,Less often,12.1
2017,Dundee City,Not at all,10.2
2017,Dundee City,Don't know,1.3
2017,Dundee City,Base,220
2019,Dundee City,Every day / Several times a week,27.9
2019,Dundee City,Once a week,18.8
2019,Dundee City,Once a month,23.4
2019,Dundee City,Less often,16.9
2019,Dundee City,Not at all,13
2019,Dundee City,Base,210
2023,Dundee City,Every day / Several times a week,44
2023,Dundee City,Once a week,12.7
2023,Dundee City,Once a month,23.9
2023,Dundee City,Less often,11.5
2023,Dundee City,Not at all,7.2
2023,Dundee City,Don't know,0.8
2023,Dundee City,Base,210
2013,East Ayrshire,Every day / Several times a week,33.8
2013,East Ayrshire,Once a week,8.5
2013,East Ayrshire,Once a month,16.3
2013,East Ayrshire,Less often,9.4
2013,East Ayrshire,Not at all,31.4
2013,East Ayrshire,Don't know,0.6
2013,East Ayrshire,Base,190
2014,East Ayrshire,Every day / Several times a week,34.4
2014,East Ayrshire,Once a week,12.4
2014,East Ayrshire,Once a month,11.9
2014,East Ayrshire,Less often,13.1
2014,East Ayrshire,Not at all,28.3
2014,East Ayrshire,Base,230
2015,East Ayrshire,Every day / Several times a week,33.9
2015,East Ayrshire,Once a week,10.9
2015,East Ayrshire,Once a month,17.4
2015,East Ayrshire,Less often,12.3
2015,East Ayrshire,Not at all,25.4
2015,East Ayrshire,Base,220
2016,East Ayrshire,Every day / Several times a week,34.1
2016,East Ayrshire,Once a week,12.2
2016,East Ayrshire,Once a month,17.8
2016,East Ayrshire,Less often,10.7
2016,East Ayrshire,Not at all,25.1
2016,East Ayrshire,Base,210
2017,East Ayrshire,Every day / Several times a week,40.6
2017,East Ayrshire,Once a week,10.8
2017,East Ayrshire,Once a month,13.1
2017,East Ayrshire,Less often,8.9
2017,East Ayrshire,Not at all,26.3
2017,East Ayrshire,Don't know,0.3
2017,East Ayrshire,Base,240
2019,East Ayrshire,Every day / Several times a week,31.4
2019,East Ayrshire,Once a week,10.3
2019,East Ayrshire,Once a month,16.4
2019,East Ayrshire,Less often,14.1
2019,East Ayrshire,Not at all,27.7
2019,East Ayrshire,Base,260
2023,East Ayrshire,Every day / Several times a week,33.3
2023,East Ayrshire,Once a week,15.7
2023,East Ayrshire,Once a month,12
2023,East Ayrshire,Less often,17.9
2023,East Ayrshire,Not at all,21.1
2023,East Ayrshire,Base,220
2013,East Dunbartonshire,Every day / Several times a week,31.4
2013,East Dunbartonshire,Once a week,11.4
2013,East Dunbartonshire,Once a month,16.3
2013,East Dunbartonshire,Less often,18.9
2013,East Dunbartonshire,Not at all,22.1
2013,East Dunbartonshire,Base,240
2014,East Dunbartonshire,Every day / Several times a week,38.3
2014,East Dunbartonshire,Once a week,13.1
2014,East Dunbartonshire,Once a month,19.9
2014,East Dunbartonshire,Less often,12
2014,East Dunbartonshire,Not at all,16.7
2014,East Dunbartonshire,Base,220
2015,East Dunbartonshire,Every day / Several times a week,36.5
2015,East Dunbartonshire,Once a week,14.3
2015,East Dunbartonshire,Once a month,13.5
2015,East Dunbartonshire,Less often,7.3
2015,East Dunbartonshire,Not at all,28
2015,East Dunbartonshire,Don't know,0.4
2015,East Dunbartonshire,Base,230
2016,East Dunbartonshire,Every day / Several times a week,39.4
2016,East Dunbartonshire,Once a week,16.5
2016,East Dunbartonshire,Once a month,15.3
2016,East Dunbartonshire,Less often,6.6
2016,East Dunbartonshire,Not at all,22.1
2016,East Dunbartonshire,Base,250
2017,East Dunbartonshire,Every day / Several times a week,36
2017,East Dunbartonshire,Once a week,11.4
2017,East Dunbartonshire,Once a month,19.7
2017,East Dunbartonshire,Less often,11.1
2017,East Dunbartonshire,Not at all,21.9
2017,East Dunbartonshire,Base,230
2019,East Dunbartonshire,Every day / Several times a week,31.8
2019,East Dunbartonshire,Once a week,9.8
2019,East Dunbartonshire,Once a month,18.7
2019,East Dunbartonshire,Less often,14
2019,East Dunbartonshire,Not at all,25.7
2019,East Dunbartonshire,Base,250
2023,East Dunbartonshire,Every day / Several times a week,40.9
2023,East Dunbartonshire,Once a week,11
2023,East Dunbartonshire,Once a month,15
2023,East Dunbartonshire,Less often,12.8
2023,East Dunbartonshire,Not at all,20.4
2023,East Dunbartonshire,Base,240
2013,East Lothian,Every day / Several times a week,57.1
2013,East Lothian,Once a week,12.3
2013,East Lothian,Once a month,8
2013,East Lothian,Less often,7.7
2013,East Lothian,Not at all,15
2013,East Lothian,Base,230
2014,East Lothian,Every day / Several times a week,43.5
2014,East Lothian,Once a week,15.3
2014,East Lothian,Once a month,13.9
2014,East Lothian,Less often,5.2
2014,East Lothian,Not at all,22.1
2014,East Lothian,Base,220
2015,East Lothian,Every day / Several times a week,47.9
2015,East Lothian,Once a week,18.1
2015,East Lothian,Once a month,16
2015,East Lothian,Less often,5.3
2015,East Lothian,Not at all,12.6
2015,East Lothian,Base,210
2016,East Lothian,Every day / Several times a week,53.3
2016,East Lothian,Once a week,11.8
2016,East Lothian,Once a month,11.7
2016,East Lothian,Less often,6.2
2016,East Lothian,Not at all,17.1
2016,East Lothian,Base,280
2017,East Lothian,Every day / Several times a week,53
2017,East Lothian,Once a week,11.4
2017,East Lothian,Once a month,12
2017,East Lothian,Less often,6.7
2017,East Lothian,Not at all,16.9
2017,East Lothian,Base,250
2019,East Lothian,Every day / Several times a week,48.8
2019,East Lothian,Once a week,10
2019,East Lothian,Once a month,15.8
2019,East Lothian,Less often,11.5
2019,East Lothian,Not at all,13.9
2019,East Lothian,Base,270
2023,East Lothian,Every day / Several times a week,63
2023,East Lothian,Once a week,8.2
2023,East Lothian,Once a month,7.3
2023,East Lothian,Less often,10.5
2023,East Lothian,Not at all,11.1
2023,East Lothian,Base,260
2013,East Renfrewshire,Every day / Several times a week,35.7
2013,East Renfrewshire,Once a week,16.1
2013,East Renfrewshire,Once a month,14
2013,East Renfrewshire,Less often,9.3
2013,East Renfrewshire,Not at all,24.9
2013,East Renfrewshire,Base,250
2014,East Renfrewshire,Every day / Several times a week,28.9
2014,East Renfrewshire,Once a week,12.5
2014,East Renfrewshire,Once a month,21
2014,East Renfrewshire,Less often,9.9
2014,East Renfrewshire,Not at all,27.7
2014,East Renfrewshire,Base,220
2015,East Renfrewshire,Every day / Several times a week,39
2015,East Renfrewshire,Once a week,18.5
2015,East Renfrewshire,Once a month,13.1
2015,East Renfrewshire,Less often,7.4
2015,East Renfrewshire,Not at all,22
2015,East Renfrewshire,Base,260
2016,East Renfrewshire,Every day / Several times a week,35.4
2016,East Renfrewshire,Once a week,17.8
2016,East Renfrewshire,Once a month,17.4
2016,East Renfrewshire,Less often,8.5
2016,East Renfrewshire,Not at all,20.9
2016,East Renfrewshire,Base,230
2017,East Renfrewshire,Every day / Several times a week,27.6
2017,East Renfrewshire,Once a week,19.3
2017,East Renfrewshire,Once a month,19.3
2017,East Renfrewshire,Less often,9.4
2017,East Renfrewshire,Not at all,24.1
2017,East Renfrewshire,Don't know,0.3
2017,East Renfrewshire,Base,230
2019,East Renfrewshire,Every day / Several times a week,24.5
2019,East Renfrewshire,Once a week,10.4
2019,East Renfrewshire,Once a month,21.3
2019,East Renfrewshire,Less often,14.3
2019,East Renfrewshire,Not at all,28.9
2019,East Renfrewshire,Don't know,0.7
2019,East Renfrewshire,Base,230
